kplr001026294 dSct
kplr001164109 rot
kplr001295531 gDor
kplr001434660 dSct
kplr001435836 rot
kplr001577912 dSct
kplr001718594 dSct
kplr001864603 nonvar
kplr001870849 dSct
kplr001996456 gDor
kplr009777062 detached
kplr009778451 nonvar
kplr009778742 gDor
kplr009784371 contact
kplr009788612 dSct
kplr009812351 dSct
kplr009818269 dSct
kplr009823652 dSct
kplr009832497 dSct
kplr009833354 nonvar
kplr003650057 dSct
kplr003650111 rot
kplr003653914 nonvar
kplr003655115 dSct
kplr003656913 rot
kplr003660828 dSct
kplr003731292 dSct
kplr003733346 RRLyr
kplr003744571 gDor
kplr003747889 nonvar
kplr009836020 dSct
kplr009839547 gDor
kplr009840412 contact
kplr009842860 gDor
kplr009843451 contact
kplr009844510 gDor
kplr009845573 dSct
kplr009847134 rot
kplr009848190 contact
kplr009850387 detached
kplr009851142 detached
kplr009851822 dSct
kplr009892699 rot
kplr009895543 dSct
kplr009896743 gDor
kplr009897089 dSct
kplr009898364 detached
kplr009898401 contact
kplr009907383 gDor
kplr009909300 gDor
kplr009913481 detached
kplr009913819 dSct
kplr009942268 nonvar
kplr009947026 RRLyr
kplr009956124 contact
kplr009957235 rot
kplr009959245 nonvar
kplr009962653 gDor
kplr009962903 nonvar
kplr009965715 nonvar
kplr009967183 gDor
kplr009970937 contact
kplr009993295 rot
kplr010002543 nonvar
kplr010007533 contact
kplr010015580 nonvar
kplr010015787 nonvar
kplr010027844 nonvar
kplr010028433 gDor
kplr010030943 contact
kplr010034227 dSct
kplr010056931 dSct
kplr010067144 nonvar
kplr010069546 rot
kplr010069934 gDor
kplr010083442 gDor
kplr010093607 gDor
kplr010095496 dSct
kplr010097397 rot
kplr010134800 dSct
kplr010135584 contact
kplr010147217 dSct
kplr010154141 nonvar
kplr010156064 detached
kplr010157520 nonvar
kplr010158272 nonvar
kplr010165570 nonvar
kplr010185622 nonvar
kplr010196398 nonvar
kplr010196863 dSct
kplr010201303 rot
kplr010207304 nonvar
kplr010207574 rot
kplr010207957 gDor
kplr010213390 rot
kplr010224094 gDor
kplr010226083 dSct
kplr010228157 rot
kplr010228240 contact
kplr010228942 detached
kplr010253943 dSct
kplr010256787 gDor
kplr010259530 contact
kplr010266488 rot
kplr010267044 contact
kplr010275197 contact
kplr010279641 rot
kplr010287499 nonvar
kplr010287874 gDor
kplr010289211 dSct
kplr010291683 contact
kplr010295951 detached
kplr010296406 rot
kplr010297233 dSct
kplr010337116 rot
kplr010345939 gDor
kplr010346511 rot
kplr010385841 nonvar
kplr010394576 nonvar
kplr010398450 gDor
kplr002020444 gDor
kplr002021060 gDor
kplr002141387 gDor
kplr002156425 nonvar
kplr002156581 nonvar
kplr002158238 nonvar
kplr002159852 gDor
kplr002168420 dSct
kplr002300529 dSct
kplr002300603 dSct
kplr010414704 nonvar
kplr010417986 dSct
kplr010418421 rot
kplr010448764 dSct
kplr010467146 gDor
kplr010468794 nonvar
kplr010471601 nonvar
kplr010480582 nonvar
kplr010481912 contact
kplr010484817 dSct
kplr003748115 nonvar
kplr003748748 gDor
kplr003761641 dSct
kplr003765708 contact
kplr003836439 detached
kplr003848042 contact
kplr003849354 dSct
kplr003850810 dSct
kplr003852644 dSct
kplr003852667 rot
kplr010486425 detached
kplr010487396 nonvar
kplr010489783 dSct
kplr010519694 nonvar
kplr010532771 dSct
kplr010537528 dSct
kplr010546400 nonvar
kplr010549023 rot
kplr010549292 dSct
kplr010549576 detached
kplr010556068 contact
kplr010586045 dSct
